MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
15054567,2015,Jun,3,Fire,ELEC - Electrical Fire,B4,AFD,00-2705,3F,Code 1,8,"(30219716, 97857612)"
15080426,2015,Aug,17,Fire,ELEC - Electrical Fire,B1,AFD,00-0401,3F,Code 3,9,"(30272353, 97753561)"
15080459,2015,Aug,17,Fire,ELEC - Electrical Fire,B4,AFD,00-2001,3F,Code 3,5,"(30209740, 97806644)"
15080470,2015,Aug,17,Fire,TRASH - Trash Fire,B4,AFD,00-2904,3F,Code 3,5,"(30175844, 97838249)"
15054616,2015,Jun,3,Fire,AUTO - Auto Fire,B5,AFD,00-0701,2F,Code 3,3,"(30262199, 97722284)"
15054618,2015,Jun,3,Fire,AUTO - Auto Fire,B5,AFD,00-2202,2F,Code 3,3,"(30244447, 97716010)"
15080584,2015,Aug,17,Fire,GRASS - Small Grass Fire,B1,AFD,00-1203,3F,Code 3,7,"(30335667, 97744902)"
15079155,2015,Aug,12,Fire,DUMP - Dumpster Fire,B5,AFD,00-3502,3F,Code 3,3,"(30227500, 97727860)"
15079321,2015,Aug,12,Fire,TRASH - Trash Fire,B5,AFD,00-1504,3F,Code 3,1,"(30275398, 97702609)"
15079323,2015,Aug,12,Fire,TRASH - Trash Fire,B5,AFD,00-4201,3F,Code 3,2,"(30222255, 97666000)"
15080678,2015,Aug,17,Fire,ELEC - Electrical Fire,B5,AFD,00-2202,3F,Code 3,3,"(30240224, 97718653)"
15054636,2015,Jun,3,Fire,BBQ - Unsafe Cooking,B3,AFD,00-4103,4F,Code 1,1,"(30329110, 97641973)"
15054655,2015,Jun,3,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1101,4F,Code 1,5,"(30255621, 97760586)"
15080736,2015,Aug,17,Fire,BBQ - Unsafe Cooking,B1,AFD,00-0401,4F,Code 1,9,"(30280701, 97758816)"
15080785,2015,Aug,18,Fire,ELEC - Electrical Fire,B5,AFD,00-4209,3F,Left Blank,2,"(30172104, 97611549)"
15080797,2015,Aug,18,Fire,GRASS - Small Grass Fire,B5,AFD,00-3502,3F,Left Blank,3,"(30226147, 97743456)"
15102873,2015,Oct,21,Fire,AUTO - Auto Fire,B4,AFD,00-3703,2F,Code 3,8,"(30245168, 97889840)"
15081018,2015,Aug,18,Fire,BBQ - Unsafe Cooking,B3,AFD,00-3004,4F,Code 3,1,"(30378579, 97674641)"
15102890,2015,Oct,21,Fire,ELEC - Electrical Fire,B4,AFD,00-2904,3F,Code 3,5,"(30151946, 97839719)"
15081044,2015,Aug,18,Fire,GRASS - Small Grass Fire,B3,AFD,00-1401,3F,Code 3,9,"(30303618, 97704216)"
15081045,2015,Aug,18,Fire,ELEC - Electrical Fire,B3,AFD,00-2806,3F,Code 3,7,"(30411270, 97721202)"
15081073,2015,Aug,18,Fire,TRASH - Trash Fire,B5,AFD,00-0702,3F,Code 1,3,"(30259140, 97712326)"
15081090,2015,Aug,18,Fire,TRASH - Trash Fire,B5,AFD,00-2203,3F,Code 3,3,"(30235657, 97718699)"
